P01,1,2,3,4,5,6,7,8,9,10,11,12
A,0.67,0.39,0.89,0.91,0.32,0.6,0.77,0.81,0.86,0.67,0.79,0.98
B,0.9,0.4,0.86,0.92,0.32,0.64,0.81,0.79,0.83,0.77,0.82,0.94
C,0.92,0.42,0.89,0.93,0.33,0.56,0.81,0.8,0.86,0.78,0.84,0.95
D,0.92,0.39,0.91,0.91,0.32,0.6,0.81,0.79,0.84,0.81,0.84,0.95
E,0.94,0.41,0.9,0.95,0.34,0.59,0.8,0.7,0.8,0.79,0.81,0.95
F,0.92,0.41,0.92,0.94,0.36,0.6,0.82,0.77,0.79,0.78,0.8,0.96
G,0.93,0.41,0.92,0.89,0.36,0.65,0.83,0.72,0.84,0.76,0.8,0.94
H,0.93,0.43,0.92,0.94,0.34,0.62,0.83,0.72,0.83,0.74,0.8,0.96
P02,1,2,3,4,5,6,7,8,9,10,11,12
A,1,0.43,0.97,1,0.35,0.6,0.82,0.79,0.87,0.8,0.82,0.99
B,0.99,0.44,0.94,0.93,0.33,0.63,0.81,0.79,0.89,0.8,0.85,1
C,0.99,0.45,0.94,0.98,0.36,0.64,0.83,0.83,0.88,0.83,0.86,1.02
D,0.95,0.44,0.98,0.97,0.34,0.63,0.83,0.8,0.89,0.83,0.86,1.02
E,0.93,0.44,0.93,0.98,0.34,0.6,0.86,0.84,0.93,0.84,0.88,1.02
F,0.94,0.44,0.94,0.98,0.35,0.59,0.87,0.86,0.87,0.84,0.87,1.03
G,0.92,0.42,0.93,0.99,0.36,0.67,0.86,0.82,0.88,0.84,0.88,1.04
H,0.91,0.42,0.97,1,0.37,0.63,0.84,0.82,0.88,0.8,0.83,1.04
P03,1,2,3,4,5,6,7,8,9,10,11,12
A,1.04,0.47,1.03,1.05,0.37,0.59,0.85,0.82,0.93,0.84,0.88,0.99
B,1,0.47,1.02,1.03,0.35,0.64,0.89,0.82,0.99,0.86,0.89,1.07
C,1.05,0.47,1.1,1.01,0.37,0.61,0.89,0.86,0.95,0.89,0.91,1.07
D,1.04,0.46,1.04,1.02,0.36,0.61,0.88,0.88,0.97,0.87,0.89,1.09
E,1.05,0.49,1.04,1.04,0.37,0.6,0.9,0.85,0.97,0.89,0.86,1.08
F,1.03,0.52,1.03,1.05,0.38,0.66,0.92,0.88,0.97,0.93,0.9,1.06
G,1.09,0.49,1.05,1.04,0.38,0.64,0.89,0.85,0.95,0.86,0.9,1.06
H,1.04,0.48,1.07,1.05,0.38,0.66,0.89,0.96,0.94,0.87,0.9,1.07
P04,1,2,3,4,5,6,7,8,9,10,11,12
A,1.09,0.44,0.96,1.08,0.36,0.61,0.91,0.86,0.97,0.82,0.86,1.06
B,1.08,0.5,1.06,1.07,0.37,0.76,0.95,0.92,1.04,0.92,0.95,1.09
C,1.08,0.52,1.1,1.08,0.38,0.74,0.99,0.91,1.03,0.93,0.98,1.11
D,1.1,0.52,1.08,1.09,0.37,0.76,0.99,0.95,1.08,0.97,0.97,1.13
E,1.08,0.55,1.09,1.12,0.37,0.77,0.98,0.96,1.06,0.97,0.99,1.12
F,1.1,0.57,1.09,1.1,0.37,0.76,0.98,0.95,1.05,0.97,1,1.1
G,1.09,0.55,1.08,1.12,0.37,0.77,0.96,0.96,1.05,0.96,0.99,1.13
H,1.1,0.53,1.12,1.12,0.4,0.8,0.98,0.95,1.04,0.96,0.98,1.13
P05,1,2,3,4,5,6,7,8,9,10,11,12
A,1.13,0.47,1.06,1.14,0.68,1,1.08,1,1.01,0.93,1,1.1
B,1.07,0.51,1.09,1.13,0.38,0.87,1.04,1.05,1.04,1.04,1.04,1.16
C,1.11,0.55,1.18,1.13,0.4,0.84,1.03,1.08,1.08,1.04,1.05,1.16
D,1.11,0.51,1.11,1.15,0.36,0.86,1.02,1.08,1.1,1.07,1.05,1.2
E,1.11,0.52,1.1,1.14,0.39,0.84,1.03,1.06,1.12,1.07,1.06,1.18
F,1.1,0.53,1.1,1.12,0.39,0.89,1.04,1.08,1.11,1.07,1.08,1.16
G,1.16,0.53,1.1,1.15,0.37,0.89,1.02,1.07,1.12,1.05,1.07,1.16
H,1.12,0.5,1.13,1.15,0.4,0.9,1.02,1.1,1.13,1.04,1.03,1.18
